Match,Date,Time of Day,Solo,Placed,Eliminations,Assists,Revives,Accuracy,Hits,Head Shots,Distance Traveled,Materials Gathered,Materials Used,Damage Taken,Damage to Players,Damage to Structures
0,2018-04-10,18:00:00,True,27,2,0,0,0.23,14,2,271.08,20,20,272,331,621
1,2018-04-10,18:00:00,True,45,1,2,0,0.3,19,1,396.73,123,30,247,444,998
2,2018-04-10,18:00:00,True,38,3,0,0,0.3,32,1,607.8,71,60,176,322,1109
3,2018-04-10,19:00:00,True,30,1,3,0,0.18,19,1,714.16,244,10,238,330,4726
4,2018-04-10,19:00:00,False,16,3,1,1,0.58,42,18,1140.0,584,150,365,668,2070
5,2018-04-10,19:00:00,True,30,0,1,0,0.1,3,1,575.59,78,60,146,117,5482
6,2018-04-10,19:00:00,True,20,3,3,0,0.25,41,6,1200.0,1379,150,175,634,3036
7,2018-04-10,19:00:00,True,29,2,2,0,0.25,17,4,292.43,59,50,219,412,1083
8,2018-04-10,19:00:00,False,21,4,0,1,0.39,50,14,1160.0,416,20,196,989,9494
9,2018-04-10,20:00:00,False,24,1,2,0,0.35,30,1,559.11,165,70,150,422,1257
10,2018-04-10,20:00:00,True,35,1,2,1,0.21,19,0,663.13,127,110,388,420,3343
11,2018-04-10,20:00:00,True,27,3,0,0,0.23,32,3,638.17,162,20,105,492,1928
12,2018-04-10,20:00:00,True,36,1,0,0,0.18,11,3,197.45,68,0,101,279,896
13,2018-04-10,20:00:00,True,27,4,1,0,0.27,38,1,992.29,226,20,106,817,1540
14,2018-04-11,13:00:00,False,17,4,0,3,0.22,34,11,610.18,270,30,233,950,1779
15,2018-04-11,14:00:00,False,4,5,4,4,0.2,35,3,3230.0,715,420,200,894,9494
16,2018-04-11,14:00:00,False,5,3,6,1,0.17,32,11,2780.0,384,370,264,787,3589
17,2018-04-11,14:00:00,False,20,1,6,0,0.23,19,2,1650.0,62,60,315,611,3506
18,2018-04-11,14:00:00,True,29,3,1,0,0.27,27,7,341.7,20,20,290,659,1047
19,2018-04-11,14:00:00,True,28,1,1,0,0.46,13,4,346.04,25,20,161,294,855
20,2018-04-11,15:00:00,False,1,7,0,0,0.25,63,9,3320.0,541,530,180,1399,17151
21,2018-04-11,20:00:00,True,49,2,0,0,0.25,27,0,476.91,167,10,128,327,1984
22,2018-04-11,20:00:00,True,66,0,1,0,0.13,5,1,216.66,87,0,165,91,1232
23,2018-04-11,20:00:00,True,18,5,0,0,0.26,60,5,1200.0,806,230,677,766,2041
24,2018-04-11,21:00:00,True,55,1,1,0,0.26,8,0,338.6,98,90,106,154,309
25,2018-04-11,21:00:00,True,39,1,1,0,0.24,12,4,229.59,102,90,154,439,327
26,2018-04-13,13:00:00,True,26,4,2,1,0.2,46,0,562.26,321,30,100,736,2518
27,2018-04-13,13:00:00,True,18,1,0,0,0.04,2,0,693.1,261,70,120,60,1643
28,2018-04-13,14:00:00,True,8,6,2,0,0.28,59,10,2560.0,732,320,317,1444,7028
29,2018-04-13,14:00:00,False,19,2,2,0,0.34,38,8,616.55,95,80,412,768,1421
30,2018-04-13,14:00:00,False,2,8,0,1,0.17,34,7,3790.0,3002,1740,321,1166,10594
31,2018-04-13,15:00:00,True,21,0,2,0,0.06,6,0,1240.0,328,120,133,219,2733
32,2018-04-13,15:00:00,True,48,2,0,0,0.38,5,0,89.51,69,0,134,385,300
33,2018-04-13,15:00:00,True,14,1,2,0,0.12,11,4,1700.0,519,60,316,416,8412
34,2018-04-13,18:00:00,False,22,1,1,0,0.17,22,3,640.68,70,70,200,302,1257
35,2018-04-13,18:00:00,False,22,3,2,1,0.2,22,4,399.83,50,50,157,646,1386
36,2018-04-13,19:00:00,False,10,3,3,0,0.22,48,5,1810.0,512,150,567,651,2371
37,2018-04-13,19:00:00,True,13,6,0,0,0.36,92,22,1500.0,894,160,257,1253,4871
38,2018-04-13,20:00:00,False,1,6,3,1,0.17,46,7,3830.0,1907,530,193,1308,18026
39,2018-04-13,20:00:00,False,15,2,3,1,0.26,45,7,771.01,749,150,422,600,2728
40,2018-04-13,20:00:00,False,16,4,2,2,0.23,28,2,526.5,153,20,142,922,2220
41,2018-04-13,21:00:00,False,2,6,2,0,0.27,54,5,4050.0,2553,680,400,1383,4945
42,2018-04-13,21:00:00,False,6,1,1,0,0.08,8,0,2810.0,288,280,352,256,5036
43,2018-04-14,12:00:00,True,31,3,1,0,0.29,21,2,570.68,78,50,343,509,1777
44,2018-04-14,12:00:00,False,21,2,2,0,0.18,16,3,661.55,136,40,355,376,1724
45,2018-04-14,13:00:00,False,25,1,0,0,0.04,1,1,574.95,204,40,272,157,1219
46,2018-04-14,13:00:00,True,11,2,1,0,0.17,24,2,1980.0,970,70,274,335,5948
47,2018-04-14,13:00:00,True,46,1,0,0,0.9,36,1,168.94,69,20,206,313,350
48,2018-04-14,13:00:00,True,21,3,0,0,0.35,26,1,709.09,230,30,194,548,9240
49,2018-04-14,13:00:00,True,32,0,0,0,0.1,9,2,411.05,139,30,212,276,2090
50,2018-04-14,13:00:00,True,28,1,1,0,0.22,28,10,416.91,46,40,173,560,593
51,2018-04-14,13:00:00,False,25,2,1,0,0.24,30,3,970.08,251,90,223,668,2602
52,2018-04-14,14:00:00,False,5,4,5,1,0.38,105,33,2330.0,687,50,671,1507,5063
53,2018-04-14,14:00:00,False,4,5,3,1,0.16,38,4,3220.0,2215,410,158,1081,8810
54,2018-04-14,14:00:00,True,29,1,2,0,0.44,27,13,518.08,79,1,164,592,358
55,2018-04-14,14:00:00,True,48,0,1,0,0.21,3,1,17.86,30,0,182,132,264
56,2018-04-14,14:00:00,False,24,2,2,0,0.21,49,20,614.77,88,30,209,680,1588
57,2018-04-14,14:00:00,True,26,2,0,0,0.38,10,0,418.13,43,30,132,507,999
58,2018-04-14,15:00:00,False,24,2,0,0,0.43,27,12,448.19,165,10,319,560,348
59,2018-04-14,15:00:00,True,24,2,1,0,0.34,28,5,500.6,164,55,339,442,3687
60,2018-04-14,16:00:00,False,12,3,0,0,0.25,25,9,1950.0,204,50,352,481,2511
61,2018-04-14,16:00:00,False,6,2,3,1,0.17,21,0,2130.0,429,180,298,497,5012
62,2018-04-14,16:00:00,False,25,2,0,0,0.24,8,1,308.27,50,0,154,430,175
63,2018-04-14,16:00:00,True,17,1,2,0,0.16,9,0,475.88,32,30,19,157,1319
64,2018-04-14,16:00:00,False,23,1,1,1,0.39,19,0,193.54,56,0,247,311,589
65,2018-04-14,19:00:00,False,15,1,3,0,0.07,11,2,1450.0,231,150,299,189,2410
66,2018-04-14,19:00:00,True,16,1,0,0,0.11,4,0,685.75,254,30,298,80,3727
67,2018-04-15,13:00:00,False,17,2,0,0,0.27,32,1,1650.0,317,160,270,502,2029
68,2018-04-15,13:00:00,True,13,6,2,0,0.13,38,7,1890.0,1560,140,367,1005,9540
69,2018-04-15,14:00:00,False,5,6,3,0,0.11,29,3,3350.0,421,230,366,764,11077
70,2018-04-15,14:00:00,True,41,0,1,0,0.25,8,3,161.73,75,10,109,250,565
71,2018-04-15,17:00:00,False,25,2,2,1,0.28,20,5,494.14,49,0,134,467,736
72,2018-04-15,17:00:00,False,20,0,3,0,0.16,7,2,498.11,78,0,172,315,2081
73,2018-04-15,17:00:00,False,15,2,2,1,0.1,13,4,792.0,118,110,313,471,3383
74,2018-04-15,18:00:00,True,1,4,5,0,0.16,35,3,4460.0,941,350,182,997,5787
75,2018-04-15,18:00:00,False,22,3,3,1,0.34,78,5,361.31,0,0,329,362,990
76,2018-04-15,22:00:00,False,15,3,0,1,0.36,83,13,336.46,175,10,223,1014,2434
77,2018-04-15,23:00:00,True,34,2,2,1,0.53,61,3,314.1,60,0,106,658,415
78,2018-04-15,23:00:00,False,15,1,1,1,0.45,30,0,1170.0,99,80,151,286,553
79,2018-04-15,23:00:00,False,4,5,2,2,0.42,52,0,3550.0,850,450,436,724,1377
80,2018-04-16,22:00:00,False,24,1,1,2,0.64,7,2,249.22,108,0,196,468,1590
81,2018-04-16,23:00:00,False,17,3,2,2,0.33,65,20,752.64,62,60,202,1222,2200
82,2018-04-17,00:00:00,True,2,8,2,0,0.31,97,8,3770.0,1750,400,576,1492,4593
83,2018-04-17,00:00:00,False,24,4,0,0,0.2,12,4,222.54,94,0,96,478,2262
84,2018-04-17,13:00:00,True,30,1,2,0,0.28,40,4,267.0,78,30,148,375,1196
85,2018-04-17,14:00:00,False,18,3,2,1,0.26,25,3,954.43,370,60,354,475,1168
86,2018-04-17,14:00:00,True,39,1,0,0,0.31,12,1,226.67,75,0,120,338,1105
